hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,total_night,arrival_month,arrival_date,is_family
Resort Hotel,0,342,2015,July,27,1,0,0,2,0.0,0,Breakfast,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,0.0,0,Transient,0.0,0,0,Check-Out,2015-07-01,0,7,2015-07-01,False
Resort Hotel,0,737,2015,July,27,1,0,0,2,0.0,0,Breakfast,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,0.0,0,Transient,0.0,0,0,Check-Out,2015-07-01,0,7,2015-07-01,False
Resort Hotel,0,7,2015,July,27,1,0,1,1,0.0,0,Breakfast,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,0.0,0,Transient,75.0,0,0,Check-Out,2015-07-02,1,7,2015-07-01,False
Resort Hotel,0,13,2015,July,27,1,0,1,1,0.0,0,Breakfast,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.0,0,Transient,75.0,0,0,Check-Out,2015-07-02,1,7,2015-07-01,False
Resort Hotel,0,14,2015,July,27,1,0,2,2,0.0,0,Breakfast,GBR,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,98.0,0,1,Check-Out,2015-07-03,2,7,2015-07-01,False
Resort Hotel,0,0,2015,July,27,1,0,2,2,0.0,0,Breakfast,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,0.0,0,Transient,107.0,0,0,Check-Out,2015-07-03,2,7,2015-07-01,False
Resort Hotel,0,9,2015,July,27,1,0,2,2,0.0,0,Full Board,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303.0,0,Transient,103.0,0,1,Check-Out,2015-07-03,2,7,2015-07-01,False
Resort Hotel,1,85,2015,July,27,1,0,3,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,82.0,0,1,Canceled,2015-05-06,3,7,2015-07-01,False
Resort Hotel,1,75,2015,July,27,1,0,3,2,0.0,0,Hald Board,PRT,Offline TA/TO,Undefined,0,0,0,D,D,0,No Deposit,15.0,0,Transient,105.5,0,0,Canceled,2015-04-22,3,7,2015-07-01,False
Resort Hotel,1,23,2015,July,27,1,0,4,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,E,E,0,No Deposit,240.0,0,Transient,123.0,0,0,Canceled,2015-06-23,4,7,2015-07-01,False
Resort Hotel,0,35,2015,July,27,1,0,4,2,0.0,0,Hald Board,PRT,Online TA,Undefined,0,0,0,D,D,0,No Deposit,240.0,0,Transient,145.0,0,0,Check-Out,2015-07-05,4,7,2015-07-01,False
Resort Hotel,0,68,2015,July,27,1,0,4,2,0.0,0,Breakfast,USA,Online TA,Undefined,0,0,0,D,E,0,No Deposit,240.0,0,Transient,97.0,0,3,Check-Out,2015-07-05,4,7,2015-07-01,False
Resort Hotel,0,18,2015,July,27,1,0,4,2,1.0,0,Hald Board,ESP,Online TA,Undefined,0,0,0,G,G,1,No Deposit,241.0,0,Transient,154.77,0,1,Check-Out,2015-07-05,4,7,2015-07-01,True
Resort Hotel,0,37,2015,July,27,1,0,4,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,E,E,0,No Deposit,241.0,0,Transient,94.71,0,0,Check-Out,2015-07-05,4,7,2015-07-01,False
Resort Hotel,0,68,2015,July,27,1,0,4,2,0.0,0,Breakfast,IRL,Online TA,Undefined,0,0,0,D,E,0,No Deposit,240.0,0,Transient,97.0,0,3,Check-Out,2015-07-05,4,7,2015-07-01,False
Resort Hotel,0,37,2015,July,27,1,0,4,2,0.0,0,Breakfast,PRT,Offline TA/TO,Undefined,0,0,0,E,E,0,No Deposit,8.0,0,Contract,97.5,0,0,Check-Out,2015-07-05,4,7,2015-07-01,False
Resort Hotel,0,12,2015,July,27,1,0,1,2,0.0,0,Breakfast,IRL,Online TA,Undefined,0,0,0,A,E,0,No Deposit,240.0,0,Transient,88.2,0,0,Check-Out,2015-07-02,1,7,2015-07-01,False
Resort Hotel,0,0,2015,July,27,1,0,1,2,0.0,0,Breakfast,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,0.0,0,Transient,107.42,0,0,Check-Out,2015-07-02,1,7,2015-07-01,False
Resort Hotel,0,7,2015,July,27,1,0,4,2,0.0,0,Breakfast,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,0,Transient,153.0,0,1,Check-Out,2015-07-05,4,7,2015-07-01,False
Resort Hotel,0,37,2015,July,27,1,1,4,1,0.0,0,Breakfast,GBR,Online TA,Undefined,0,0,0,F,F,0,No Deposit,241.0,0,Transient,97.29,0,1,Check-Out,2015-07-06,5,7,2015-07-01,False
Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,Breakfast,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,0,Transient,84.67,0,1,Check-Out,2015-07-07,6,7,2015-07-01,False
Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,Breakfast,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,0,Transient,99.67,0,1,Check-Out,2015-07-07,6,7,2015-07-01,False
Resort Hotel,0,127,2015,July,27,1,2,5,2,0.0,0,Hald Board,GBR,Offline TA/TO,Undefined,0,0,0,D,I,0,No Deposit,115.0,0,Contract,94.95,0,1,Check-Out,2015-07-01,7,7,2015-07-01,False
Resort Hotel,0,78,2015,July,27,1,2,5,2,0.0,0,Breakfast,PRT,Offline TA/TO,Undefined,0,0,0,D,D,0,No Deposit,5.0,0,Transient,63.6,1,0,Check-Out,2015-07-08,7,7,2015-07-01,False
Resort Hotel,0,48,2015,July,27,1,2,5,2,0.0,0,Breakfast,IRL,Offline TA/TO,Undefined,0,0,0,D,D,0,No Deposit,8.0,0,Contract,79.5,0,0,Check-Out,2015-07-08,7,7,2015-07-01,False
Resort Hotel,1,60,2015,July,27,1,2,5,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,E,E,0,No Deposit,240.0,0,Transient,107.0,0,2,Canceled,2015-05-11,7,7,2015-07-01,False
Resort Hotel,0,77,2015,July,27,1,2,5,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,94.0,0,0,Check-Out,2015-07-08,7,7,2015-07-01,False
Resort Hotel,0,99,2015,July,27,1,2,5,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,D,D,0,No Deposit,240.0,0,Transient,87.3,1,1,Check-Out,2015-07-08,7,7,2015-07-01,False
Resort Hotel,0,118,2015,July,27,1,4,10,1,0.0,0,Breakfast,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,0.0,0,Transient,62.0,0,2,Check-Out,2015-07-15,14,7,2015-07-01,False
Resort Hotel,0,95,2015,July,27,1,4,11,2,0.0,0,Breakfast,GBR,Offline TA/TO,Undefined,0,0,0,D,D,0,No Deposit,241.0,0,Transient,63.86,0,0,Check-Out,2015-07-16,15,7,2015-07-01,False
Resort Hotel,1,96,2015,July,27,1,2,8,2,0.0,0,Breakfast,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0.0,0,Transient,108.3,0,2,Canceled,2015-05-29,10,7,2015-07-01,False
Resort Hotel,0,69,2015,July,27,2,2,4,2,0.0,0,Breakfast,IRL,Offline TA/TO,Undefined,0,0,0,A,C,0,No Deposit,175.0,0,Transient,65.5,0,0,Check-Out,2015-07-08,6,7,2015-07-02,False
Resort Hotel,1,45,2015,July,27,2,1,3,3,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,D,D,0,No Deposit,241.0,0,Transient,108.8,0,1,Canceled,2015-05-19,4,7,2015-07-02,False
Resort Hotel,1,40,2015,July,27,2,1,3,3,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,D,D,0,No Deposit,241.0,0,Transient,108.8,0,1,Canceled,2015-06-19,4,7,2015-07-02,False
Resort Hotel,0,15,2015,July,27,2,1,3,2,0.0,0,Breakfast,ESP,Online TA,Undefined,0,0,0,A,C,0,No Deposit,240.0,0,Transient,98.0,0,0,Check-Out,2015-07-06,4,7,2015-07-02,False
Resort Hotel,0,36,2015,July,27,2,1,3,3,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,D,D,0,No Deposit,241.0,0,Transient,108.8,0,1,Check-Out,2015-07-06,4,7,2015-07-02,False
Resort Hotel,1,43,2015,July,27,2,1,3,3,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,D,D,0,No Deposit,241.0,0,Transient,108.8,0,0,Canceled,2015-05-23,4,7,2015-07-02,False
Resort Hotel,0,70,2015,July,27,2,2,3,2,0.0,0,Hald Board,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,0,Transient,137.0,0,1,Check-Out,2015-07-07,5,7,2015-07-02,False
Resort Hotel,1,45,2015,July,27,2,2,3,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,G,G,0,No Deposit,241.0,0,Transient,117.81,0,0,Canceled,2015-05-18,5,7,2015-07-02,False
Resort Hotel,0,45,2015,July,27,2,2,3,2,0.0,0,Breakfast,IRL,Offline TA/TO,Undefined,0,0,0,D,D,0,No Deposit,8.0,0,Contract,79.5,0,0,Check-Out,2015-07-07,5,7,2015-07-02,False
Resort Hotel,0,16,2015,July,27,2,2,3,2,0.0,0,Breakfast,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-07,5,7,2015-07-02,False
Resort Hotel,0,107,2015,July,27,2,2,5,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,110.7,0,2,Check-Out,2015-07-09,7,7,2015-07-02,False
Resort Hotel,1,47,2015,July,27,2,2,5,2,2.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,G,G,0,No Deposit,240.0,0,Transient,153.0,0,0,Canceled,2015-06-02,7,7,2015-07-02,True
Resort Hotel,0,96,2015,July,27,2,2,5,2,0.0,0,Breakfast,ESP,Offline TA/TO,Undefined,0,0,0,A,A,0,No Deposit,134.0,0,Transient,58.95,0,1,Check-Out,2015-07-09,7,7,2015-07-02,False
Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,Breakfast,NOR,Offline TA/TO,Undefined,0,0,0,E,E,0,No Deposit,156.0,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09,7,7,2015-07-02,False
Resort Hotel,0,90,2015,July,27,2,2,5,2,0.0,0,Hald Board,GBR,Offline TA/TO,Undefined,0,0,0,A,B,1,No Deposit,243.0,0,Contract,82.35,0,0,Check-Out,2015-07-09,7,7,2015-07-02,False
Resort Hotel,0,50,2015,July,27,2,2,5,2,0.0,0,Hald Board,IRL,Online TA,Undefined,0,0,0,E,F,1,No Deposit,241.0,0,Transient,119.35,0,1,Check-Out,2015-07-09,7,7,2015-07-02,False
Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,Breakfast,NOR,Offline TA/TO,Undefined,0,0,0,D,D,0,No Deposit,156.0,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09,7,7,2015-07-02,False
Resort Hotel,0,93,2015,July,27,2,3,8,2,0.0,0,Breakfast,IRL,Offline TA/TO,Undefined,0,0,0,A,A,0,No Deposit,156.0,0,Contract,56.01,0,0,Check-Out,2015-07-13,11,7,2015-07-02,False
Resort Hotel,0,76,2015,July,27,2,4,10,2,0.0,0,Breakfast,OMN,Offline TA/TO,Undefined,0,0,0,D,D,0,No Deposit,243.0,0,Contract,110.7,0,0,Check-Out,2015-07-16,14,7,2015-07-02,False
Resort Hotel,0,3,2015,July,27,2,0,1,2,0.0,0,Breakfast,ESP,Online TA,Undefined,0,0,0,A,C,0,No Deposit,240.0,0,Transient,88.2,1,0,Check-Out,2015-07-03,1,7,2015-07-02,False
Resort Hotel,0,1,2015,July,27,2,0,1,2,0.0,0,Breakfast,ARG,Online TA,Undefined,0,0,0,H,H,0,No Deposit,240.0,0,Transient,147.0,1,0,Check-Out,2015-07-03,1,7,2015-07-02,False
Resort Hotel,0,1,2015,July,27,2,0,1,2,2.0,0,Breakfast,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,0.0,0,Transient,107.0,1,2,Check-Out,2015-07-03,1,7,2015-07-02,True
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,Breakfast,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0.0,0,Transient,147.0,0,0,Check-Out,2015-07-03,1,7,2015-07-02,False
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,D,0,No Deposit,240.0,0,Transient,117.9,0,2,Check-Out,2015-07-03,1,7,2015-07-02,False
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,Breakfast,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-03,1,7,2015-07-02,False
Resort Hotel,0,14,2015,July,27,2,0,2,2,0.0,0,Breakfast,USA,Online TA,Undefined,0,0,0,A,C,0,No Deposit,242.0,0,Transient,98.0,0,1,Check-Out,2015-07-04,2,7,2015-07-02,False
Resort Hotel,0,10,2015,July,27,2,0,2,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,G,G,0,No Deposit,241.0,0,Transient,117.81,0,0,Check-Out,2015-07-04,2,7,2015-07-02,False
Resort Hotel,0,5,2015,July,27,2,0,2,2,0.0,0,Breakfast,IRL,Online TA,Undefined,0,0,0,E,E,0,No Deposit,240.0,0,Transient,135.0,1,2,Check-Out,2015-07-04,2,7,2015-07-02,False
Resort Hotel,0,17,2015,July,27,2,0,3,2,0.0,0,Breakfast,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,0,Transient,133.0,0,1,Check-Out,2015-07-05,3,7,2015-07-02,False
Resort Hotel,0,93,2015,July,27,2,0,3,2,0.0,0,Breakfast,IRL,Offline TA/TO,Undefined,0,0,0,A,C,0,No Deposit,115.0,0,Contract,58.95,0,0,Check-Out,2015-07-05,3,7,2015-07-02,False
Resort Hotel,1,3,2015,July,27,2,0,3,2,0.0,0,Hald Board,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,136.33,0,2,Canceled,2015-06-29,3,7,2015-07-02,False
Resort Hotel,0,10,2015,July,27,3,0,2,2,2.0,0,Breakfast,USA,Online TA,Undefined,0,0,0,G,H,0,No Deposit,240.0,0,Transient,153.0,1,0,Check-Out,2015-07-05,2,7,2015-07-03,True
Resort Hotel,0,3,2015,July,27,3,0,2,2,0.0,0,Breakfast,ESP,Online TA,Undefined,0,0,0,A,C,0,No Deposit,240.0,0,Transient,110.5,0,0,Check-Out,2015-07-05,2,7,2015-07-03,False
Resort Hotel,0,51,2015,July,27,3,0,2,2,0.0,0,Breakfast,POL,Online TA,Undefined,0,0,0,D,D,0,No Deposit,242.0,0,Transient,97.0,0,0,Check-Out,2015-07-05,2,7,2015-07-03,False
Resort Hotel,1,71,2015,July,27,3,0,2,3,0.0,0,Breakfast,PRT,Offline TA/TO,Undefined,0,0,0,A,A,0,No Deposit,242.0,0,Transient,110.3,0,2,Canceled,2015-06-16,2,7,2015-07-03,False
Resort Hotel,1,63,2015,July,27,3,0,2,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,82.0,0,2,Canceled,2015-06-18,2,7,2015-07-03,False
Resort Hotel,1,62,2015,July,27,3,0,2,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,D,D,0,No Deposit,240.0,0,Transient,97.0,0,1,Canceled,2015-07-03,2,7,2015-07-03,False
Resort Hotel,1,101,2015,July,27,3,0,2,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,73.8,0,1,Canceled,2015-06-12,2,7,2015-07-03,False
Resort Hotel,0,2,2015,July,27,3,0,2,2,0.0,0,Hald Board,PRT,Offline TA/TO,Undefined,0,0,0,A,A,0,No Deposit,3.0,0,Transient,91.5,0,0,Check-Out,2015-07-05,2,7,2015-07-03,False
Resort Hotel,0,15,2015,July,27,3,0,2,2,0.0,0,Breakfast,ESP,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,114.5,0,0,Check-Out,2015-07-05,2,7,2015-07-03,False
Resort Hotel,1,51,2015,July,27,3,0,2,3,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,242.0,0,Transient,110.3,0,0,Canceled,2015-06-09,2,7,2015-07-03,False
Resort Hotel,0,3,2015,July,27,3,1,2,2,0.0,0,Breakfast,ESP,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,90.9,1,0,Check-Out,2015-07-06,3,7,2015-07-03,False
Resort Hotel,1,48,2015,July,27,3,1,2,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,E,E,0,No Deposit,240.0,0,Transient,123.0,0,0,Canceled,2015-05-26,3,7,2015-07-03,False
Resort Hotel,0,2,2015,July,27,3,2,2,1,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,122.0,0,0,Check-Out,2015-07-07,4,7,2015-07-03,False
Resort Hotel,0,72,2015,July,27,3,2,2,2,0.0,0,Breakfast,DEU,Offline TA/TO,Undefined,0,0,0,A,A,0,No Deposit,105.0,0,Transient,110.7,1,0,Check-Out,2015-07-07,4,7,2015-07-03,False
Resort Hotel,0,81,2015,July,27,3,2,6,3,0.0,0,Breakfast,PRT,Offline TA/TO,Undefined,0,0,0,D,D,0,No Deposit,5.0,0,Transient,85.86,0,0,Check-Out,2015-07-11,8,7,2015-07-03,False
Resort Hotel,0,99,2015,July,27,3,2,7,2,0.0,0,Breakfast,FRA,Offline TA/TO,Undefined,0,0,0,A,A,0,No Deposit,40.0,0,Contract,58.95,0,0,Check-Out,2015-07-12,9,7,2015-07-03,False
Resort Hotel,1,368,2015,July,27,3,3,7,2,0.0,0,Breakfast,PRT,Offline TA/TO,Undefined,0,0,0,A,A,0,No Deposit,40.0,0,Contract,55.68,0,0,Canceled,2015-05-19,10,7,2015-07-03,False
Resort Hotel,0,364,2015,July,27,3,3,7,2,0.0,0,Breakfast,GBR,Offline TA/TO,Undefined,0,0,0,A,A,0,No Deposit,40.0,0,Contract,55.68,0,0,Check-Out,2015-07-13,10,7,2015-07-03,False
Resort Hotel,1,81,2015,July,27,3,3,7,2,0.0,0,Hald Board,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,0,Transient,124.0,0,1,Canceled,2015-06-09,10,7,2015-07-03,False
Resort Hotel,0,99,2015,July,27,3,3,7,2,0.0,0,Hald Board,GBR,Offline TA/TO,Undefined,0,0,0,E,E,0,No Deposit,115.0,0,Contract,111.15,0,0,Check-Out,2015-07-13,10,7,2015-07-03,False
Resort Hotel,0,324,2015,July,27,3,4,10,2,0.0,0,Hald Board,GBR,Offline TA/TO,Undefined,0,0,0,E,E,0,No Deposit,40.0,0,Contract,134.73,0,0,Check-Out,2015-07-17,14,7,2015-07-03,False
Resort Hotel,0,69,2015,July,27,3,4,10,2,0.0,0,Breakfast,GBR,Online TA,Undefined,0,0,0,F,F,1,No Deposit,241.0,0,Transient,92.45,0,1,Check-Out,2015-07-17,14,7,2015-07-03,False
Resort Hotel,1,79,2015,July,27,3,6,15,2,1.0,0,Breakfast,PRT,Offline TA/TO,Undefined,0,0,0,A,A,0,No Deposit,242.0,0,Transient,108.73,0,2,Canceled,2015-04-15,21,7,2015-07-03,True
Resort Hotel,0,12,2015,July,27,3,0,1,2,0.0,0,Breakfast,GBR,Online TA,Undefined,0,0,0,A,C,0,No Deposit,240.0,0,Transient,73.8,0,0,Check-Out,2015-07-04,1,7,2015-07-03,False
Resort Hotel,0,9,2015,July,27,3,0,1,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,C,0,No Deposit,240.0,0,Transient,98.0,1,2,Check-Out,2015-07-04,1,7,2015-07-03,False
Resort Hotel,0,1,2015,July,27,3,0,1,2,0.0,0,Breakfast,ESP,Online TA,Undefined,0,0,0,A,C,0,No Deposit,240.0,0,Transient,131.0,0,1,Check-Out,2015-07-04,1,7,2015-07-03,False
Resort Hotel,0,21,2015,July,27,3,0,1,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,E,E,0,No Deposit,240.0,0,Transient,123.0,0,0,Check-Out,2015-07-04,1,7,2015-07-03,False
Resort Hotel,0,9,2015,July,27,3,0,1,2,0.0,0,Breakfast,USA,Online TA,Undefined,0,0,0,C,C,0,No Deposit,241.0,0,Transient,94.71,0,0,Check-Out,2015-07-04,1,7,2015-07-03,False
Resort Hotel,0,109,2015,July,27,3,0,1,2,0.0,0,Breakfast,BEL,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,123.0,0,2,Check-Out,2015-07-04,1,7,2015-07-03,False
Resort Hotel,1,109,2015,July,27,3,0,2,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,123.0,0,1,Canceled,2015-05-26,2,7,2015-07-03,False
Resort Hotel,1,72,2015,July,27,3,0,2,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,73.8,0,1,Canceled,2015-06-29,2,7,2015-07-03,False
Resort Hotel,1,63,2015,July,27,3,2,5,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,F,F,0,No Deposit,242.0,0,Transient,117.0,0,1,Canceled,2015-05-13,7,7,2015-07-03,False
Resort Hotel,0,63,2015,July,27,3,2,5,3,0.0,0,Hald Board,ESP,Offline TA/TO,Undefined,0,0,0,E,E,0,No Deposit,105.0,0,Transient,196.54,0,1,Check-Out,2015-07-10,7,7,2015-07-03,False
Resort Hotel,0,101,2015,July,27,3,2,5,2,1.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,D,D,0,No Deposit,240.0,0,Transient,99.3,1,2,Check-Out,2015-07-10,7,7,2015-07-03,True
Resort Hotel,0,102,2015,July,27,3,2,5,2,0.0,0,Breakfast,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,0,Transient,90.95,0,0,Check-Out,2015-07-10,7,7,2015-07-03,False
Resort Hotel,0,4,2015,July,27,4,2,1,2,0.0,0,Breakfast,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,0,Transient,92.67,0,1,Check-Out,2015-07-07,3,7,2015-07-04,False
Resort Hotel,0,98,2015,July,27,4,2,1,2,0.0,0,Breakfast,FRA,Offline TA/TO,Undefined,0,0,0,D,D,0,No Deposit,8.0,0,Transient,71.55,1,0,Check-Out,2015-07-07,3,7,2015-07-04,False
Resort Hotel,0,92,2015,July,27,4,2,4,1,2.0,0,Breakfast,FRA,Offline TA/TO,Undefined,0,0,0,F,F,0,No Deposit,241.0,0,Transient,96.49,0,2,Check-Out,2015-07-10,6,7,2015-07-04,True
Resort Hotel,0,95,2015,July,27,4,2,4,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,C,0,No Deposit,240.0,0,Transient,85.8,1,2,Check-Out,2015-07-10,6,7,2015-07-04,False
Resort Hotel,0,102,2015,July,27,4,2,5,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,E,E,0,No Deposit,240.0,0,Transient,96.3,0,1,Check-Out,2015-07-11,7,7,2015-07-04,False
Resort Hotel,1,26,2015,July,27,4,2,5,2,2.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,H,H,0,No Deposit,240.0,0,Transient,163.0,0,0,Canceled,2015-06-09,7,7,2015-07-04,True
Resort Hotel,1,73,2015,July,27,4,2,5,3,0.0,0,Hald Board,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,0,Transient,172.0,0,1,Canceled,2015-05-20,7,7,2015-07-04,False
Resort Hotel,1,102,2015,July,27,4,2,5,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,110.7,0,1,Canceled,2015-04-22,7,7,2015-07-04,False
Resort Hotel,0,115,2015,July,27,4,2,5,2,0.0,0,Breakfast,PRT,Offline TA/TO,Undefined,0,0,0,A,A,0,No Deposit,134.0,0,Transient,58.95,0,1,Check-Out,2015-07-11,7,7,2015-07-04,False
Resort Hotel,0,102,2015,July,27,4,2,5,2,0.0,1,Breakfast,PRT,Online TA,Undefined,0,0,0,A,A,0,No Deposit,240.0,0,Transient,73.8,0,2,Check-Out,2015-07-11,7,7,2015-07-04,True
Resort Hotel,0,86,2015,July,27,4,2,5,2,0.0,0,Breakfast,CHE,Online TA,Undefined,0,0,0,D,D,0,No Deposit,240.0,0,Transient,97.0,0,2,Check-Out,2015-07-11,7,7,2015-07-04,False
Resort Hotel,0,78,2015,July,27,4,2,5,2,0.0,1,Hald Board,PRT,Online TA,Undefined,0,0,0,E,F,0,No Deposit,240.0,0,Transient,139.0,0,2,Check-Out,2015-07-11,7,7,2015-07-04,True
Resort Hotel,0,52,2015,July,27,4,2,5,2,0.0,0,Breakfast,GBR,Online TA,Undefined,0,0,0,A,A,0,No Deposit,147.0,0,Transient,67.24,0,0,Check-Out,2015-07-11,7,7,2015-07-04,False
Resort Hotel,0,29,2015,July,27,4,2,6,3,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,E,E,0,No Deposit,241.0,0,Transient,116.5,0,1,Check-Out,2015-07-12,8,7,2015-07-04,False
Resort Hotel,1,101,2015,July,27,4,2,6,2,0.0,0,Breakfast,PRT,Online TA,Undefined,0,0,0,E,E,0,No Deposit,240.0,0,Transient,96.3,0,1,Canceled,2015-05-12,8,7,2015-07-04,False
